episode,timestep,reward
20303,1822000,92.7094
20331,1824000,92.7469
20359,1826000,92.5582
20387,1828000,92.7169
20415,1830000,92.7324
20443,1832000,92.6841
20471,1834000,92.8155
20499,1836000,92.6504
20527,1838000,92.5689
20555,1840000,92.6802
20584,1842000,92.6866
20611,1844000,92.5886
20639,1846000,92.6801
20668,1848000,92.7502
20695,1850000,92.7316
20723,1852000,92.6609
20751,1854000,92.707
20778,1856000,92.3602
20806,1858000,92.782
20835,1860000,92.7283
20862,1862000,92.6791
20891,1864000,92.7457
20919,1866000,92.6554
20947,1868000,92.6279
20975,1870000,92.651
21003,1872000,92.6692
21032,1874000,92.7753
21060,1876000,92.7904
21088,1878000,92.8346
21116,1880000,92.5744
21144,1882000,92.6405
21172,1884000,92.6617
21200,1886000,92.646
21228,1888000,92.6098
21256,1890000,92.7086
21284,1892000,92.865
21313,1894000,92.5028
21341,1896000,92.7264
21369,1898000,92.5734
21397,1900000,92.6453
21425,1902000,92.7222
21453,1904000,92.7528
21481,1906000,92.6737
21509,1908000,92.5975
21537,1910000,92.6391
21565,1912000,92.5139
21593,1914000,92.7004
21621,1916000,92.6077
21649,1918000,92.6489
21677,1920000,92.6553
21705,1922000,92.713
21733,1924000,92.5501
21761,1926000,92.676
21790,1928000,92.5854
21817,1930000,92.5936
21845,1932000,92.6568
21874,1934000,92.6072
21902,1936000,92.6507
21930,1938000,92.5937
21958,1940000,92.6162
21987,1942000,92.5278
22015,1944000,92.5435
22043,1946000,92.582
22071,1948000,92.7709
22099,1950000,92.7003
22127,1952000,92.7609
22155,1954000,92.6962
22183,1956000,92.5621
22212,1958000,92.7259
22240,1960000,92.7205
22268,1962000,92.6633
22296,1964000,92.7631
22324,1966000,92.5885
22352,1968000,92.5261
22380,1970000,92.7226
22408,1972000,92.6738
22436,1974000,92.7139
22464,1976000,92.6741
22492,1978000,92.6854
22520,1980000,92.711
22549,1982000,92.6759
22577,1984000,92.6531
22605,1986000,92.6192
22633,1988000,92.7406
22661,1990000,92.6238
22689,1992000,92.7425
22717,1994000,92.7294
22745,1996000,92.5509
22773,1998000,92.7117
22801,2000000,92.6257
22830,2002000,92.9719
22859,2004000,92.8323
22887,2006000,93.0059
22916,2008000,93.0299
22944,2010000,92.9433
22972,2012000,92.9562
23001,2014000,92.9133
23029,2016000,92.8623
23058,2018000,92.9269
23086,2020000,92.8926
23115,2022000,93.0503
23143,2024000,92.9017
23172,2026000,92.9877
23200,2028000,92.8232
23229,2030000,92.891
23257,2032000,92.9532
23285,2034000,92.8807
23314,2036000,92.9762
23342,2038000,92.9472
23371,2040000,92.9087
23399,2042000,93.0033
23428,2044000,93.092
23456,2046000,93.0387
23485,2048000,93.022
23514,2050000,92.9553
23542,2052000,92.902
23570,2054000,92.9444
23599,2056000,92.919
23627,2058000,92.8785
23656,2060000,92.9619
23684,2062000,93.0308
23713,2064000,93.0133
23741,2066000,92.9948
23770,2068000,93.0452
23798,2070000,92.9942
23827,2072000,92.9124
23855,2074000,92.9314
23884,2076000,92.8504
23912,2078000,92.9454
23941,2080000,92.856
23969,2082000,92.8831
23997,2084000,92.9828
24026,2086000,92.9761
24054,2088000,92.927
24083,2090000,92.9429
24111,2092000,92.9636
24140,2094000,92.9457
24168,2096000,92.897
24197,2098000,92.9974
24225,2100000,92.8576
24253,2102000,92.9698
24282,2104000,93.0505
24311,2106000,92.7698
24339,2108000,92.9197
24368,2110000,92.8767
24396,2112000,92.9692
24425,2114000,92.9036
24453,2116000,92.878
24482,2118000,93.0212
24510,2120000,92.8965
24538,2122000,92.9784
24567,2124000,93.0411
24595,2126000,93.0075
24624,2128000,93.012
24652,2130000,93.0021
24681,2132000,92.8476
24709,2134000,92.9448
24737,2136000,92.9746
24766,2138000,92.9557
24794,2140000,93.0813
24823,2142000,92.9448
24851,2144000,92.9612
24879,2146000,92.8789
24908,2148000,92.9832
24936,2150000,93.0446
24965,2152000,92.9798
24993,2154000,93.0127
25021,2156000,92.9011
25050,2158000,92.8734
25078,2160000,93.0477
25107,2162000,92.9749
25135,2164000,92.9688
25164,2166000,92.946
25192,2168000,93.0259
25221,2170000,92.9299
25249,2172000,92.9391
25277,2174000,92.945
25306,2176000,92.9918
25334,2178000,92.835
25363,2180000,92.9261
25391,2182000,93.0092
25420,2184000,92.9399
25448,2186000,93.0657
25476,2188000,93.0135
25505,2190000,92.9349
25533,2192000,92.8998
25562,2194000,93.0241
25590,2196000,93.0814
25618,2198000,93.0334
25647,2200000,92.9918
25676,2202000,92.8124
25704,2204000,92.9716
25733,2206000,92.9404
25761,2208000,92.9856
25790,2210000,92.8806
25818,2212000,93.0215
25846,2214000,92.9837
25875,2216000,92.9857
25904,2218000,92.8739
25932,2220000,92.8653
25961,2222000,92.9276
25989,2224000,92.889
26017,2226000,92.9042
26045,2228000,92.9212
26074,2230000,93.0037
26103,2232000,92.9087
26131,2234000,92.8673
26160,2236000,92.9142
26188,2238000,92.915
26216,2240000,92.9159
26245,2242000,93.0144
26273,2244000,93.0041
26302,2246000,93.0618
26330,2248000,92.9556
26359,2250000,92.8079
26388,2252000,93.1961
26417,2254000,93.2381
26446,2256000,93.1504
26474,2258000,93.1632
26503,2260000,93.1573
26532,2262000,93.1534
26561,2264000,93.0993
26590,2266000,93.1405
26619,2268000,93.1545
26648,2270000,93.2311
26676,2272000,93.1059
26705,2274000,93.1702
26734,2276000,93.1635
26763,2278000,93.2578
26792,2280000,93.1487
26821,2282000,93.1205
26850,2284000,93.1797
26879,2286000,93.1621
26908,2288000,93.196
26936,2290000,93.1397
26965,2292000,93.1566
26994,2294000,93.1315
27023,2296000,93.1788
27052,2298000,93.2528
27081,2300000,93.1416
27110,2302000,93.1538
27139,2304000,93.1857
27168,2306000,93.1699
27197,2308000,93.2065
27226,2310000,93.1934
27255,2312000,93.1975
27283,2314000,93.1787
27313,2316000,93.2268
27341,2318000,93.1837
27370,2320000,93.1339
27399,2322000,93.1668
27428,2324000,93.1829
27457,2326000,93.1817
27486,2328000,93.1893
27515,2330000,93.2955
27544,2332000,93.2052
27572,2334000,93.2396
27601,2336000,93.1321
27630,2338000,93.1846
27658,2340000,93.2065
27687,2342000,93.2282
27716,2344000,93.1493
27745,2346000,93.2147
27773,2348000,93.2134
27802,2350000,93.1975
27831,2352000,93.1774
27860,2354000,93.1837
27889,2356000,93.261
27918,2358000,93.2132
27947,2360000,93.1997
27975,2362000,93.1887
28004,2364000,93.1811
28033,2366000,93.2407
28062,2368000,93.2158
28091,2370000,93.2385
28119,2372000,93.1595
28148,2374000,93.3229
28177,2376000,93.2508
28206,2378000,93.2012
28235,2380000,93.2051
28264,2382000,93.2155
28293,2384000,93.2054
28322,2386000,93.2558
28351,2388000,93.1372
28380,2390000,93.2789
28408,2392000,93.2256
28437,2394000,93.2206
28466,2396000,93.2317
28495,2398000,93.1903
28524,2400000,93.2651
28552,2402000,93.2051
28581,2404000,93.1876
28610,2406000,93.2234
28638,2408000,93.3019
28667,2410000,93.254
28696,2412000,93.2972
28725,2414000,93.3048
28754,2416000,93.2559
28783,2418000,93.2605
28812,2420000,93.2618
28840,2422000,93.1274
28869,2424000,93.2114
28898,2426000,93.2471
28927,2428000,93.2159
28956,2430000,93.2583
28985,2432000,93.2228
29013,2434000,93.2776
29042,2436000,93.1659
29071,2438000,93.1552
29100,2440000,93.2456
29129,2442000,93.2167
29158,2444000,93.2667
29187,2446000,93.1729
